Running time,Based on,Clean box office,Clean budget,English,Year,Covid-19,20th Century Fox,Other studio,Paramount Pictures,Sony Pictures Releasing,Streaming,Universal Pictures,Walt Disney Studios,Warner Bros. Pictures,Month,G,PG,PG-13,R,Part_of_franchise,Sci-fi,Biography,Documentary,Mystery & thriller,Drama,Holiday,Western,Horror,Fantasy,Action,Kids & family,Lgbtq+,War,Crime,Comedy,History,Music,Romance,Adventure,Animation,Musical,Lionsgate,Max_prev_box_office_director,Prev_box_office_actors,Avg_ratings_score_director,Median_main_genre_box_office,Weekly_budget_ratio,Previous_movie_box_office
118.0,0,68100000.0,31000000.0,1,2000,0,False,False,False,False,False,False,False,True,4,False,False,True,False,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,102600000.0,611999031.6,80.5,16300000.0,0.23308270676691728,0.0
91.0,1,59500000.0,83000000.0,1,2000,0,False,False,False,False,False,True,False,False,4,False,True,False,False,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,False,341600000.0,382759107.59999996,36.0,26900000.0,0.6240601503759399,0.0
98.0,0,1431406.0,4000000.0,1,2000,0,False,False,False,True,False,False,False,False,4,False,False,False,True,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,49800000.0,1085150387.6,60.0,6015171.0,0.03007518796992481,0.0
91.0,0,10200000.0,8000000.0,1,2000,0,False,True,False,False,False,False,False,False,5,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,False,0.0,13560000.0,64.53950143811011,18500000.0,0.045454545454545456,0.0
114.0,1,14400327.0,50000000.0,1,2000,0,False,False,False,True,False,False,False,False,5,False,False,True,False,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0.0,136087327.0,64.53950143811011,5985690.0,0.2840909090909091,0.0
117.0,1,29700000.0,73000000.0,1,2000,0,False,False,False,False,False,False,False,True,5,False,False,True,False,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,False,364164.0,1233606556.0,49.0,46350000.0,0.24957264957264957,0.0
117.0,0,15600000.0,3000000.0,0,2000,0,False,True,False,False,False,False,False,False,5,False,False,False,True,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0.0,15600000.0,64.53950143811011,6015171.0,0.010256410256410256,0.0
111.0,0,26300000.0,23500000.0,1,2000,0,False,False,False,True,False,False,False,False,5,False,False,True,False,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,46900000.0,220832398.6,65.66666666666667,6044652.0,0.08034188034188035,0.0
81.0,0,7000000.0,10000000.0,1,2000,0,False,False,False,False,False,True,False,False,5,False,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,0.0,303039590.4,64.53950143811011,12500000.0,0.03418803418803419,0.0
82.0,0,349800000.0,127500000.0,1,2000,0,False,False,False,False,False,False,True,False,5,False,False,True,False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0.0,421090336.40000004,64.53950143811011,21700000.0,0.4358974358974359,0.0
